Medicine Name,Active Ingredient,Alternatives,Pharmacology
Panadol,paracetamol(acetaminophen),GRIPPO 200mg supp.; PARACETAMOL 500mg 20tab. B.P.80; PARALEX 125 rectal pediatric supp.; ACETAMINOPHEN 125mg paed. supp.U.S.P.XXIII; PYREMOL 300mg supp.; PYRAL 250mg 5 children supp.; FEBRIMOL 500mg 20 tab.; CETAMOL 120mg/5ml pediatric 120ml syrup.; FEBRIMOL oral drops 20 ML; PARACETAMOL-MUP 500mg B.P. 20 tab.; PARAGESIC 500mg 5 supp.; PYRAL 100mg/ml oral drops; UNICETAMOL 100MG/ML oral drops 15 ML; PARACETAMOL-AMRIYA 120mg/5ml 120ml susp.; TEMPORAL 250mg/5ml 60ml susp.; ABIMOL 300mg 5 rectal supp.; PYRAL 2.4g/100ml 125ml syrup; ABIMOL 150MG/5ML 125ML SYRUP; PARACETAMOL 500mg 20 tab. B.P. 2010 (ADWIC); THERA-LO 3.2g/100ml oral 100ml susp.; CETAL 120mg 5 infantile supp.; TEMPRA 160 mg/5ml syp. 90 ML; FEVANO 200mg/5ml 125ml syrup; CETAL 100MG/ML oral drops 15 ML; PARAMOL 125mg 5 paediatric supp.; CETAL 250mg/5ml 60ml susp.; PARACETAMOL-ADCO 500mg 20 tab.; PYRAL 500mg 20 tab.; CETAL 500mg 20 tab.; ABIMOL 500 MG 20 TABLETS; GESICREST 10mg/ml vial for I.V. inf. 50 ML; RAZIPHEMOL 10mg/ml soln. for I.V. inf.; ADOL 500MG 24 CAPLETS; PARAMOL 120mg/5ml 125ml syrup; PARACETAMOL-PHARCO B 1% soln. for I.V. inf.; PANADOL 500 mg 24 TABLETS; PARAMOL 500mg 20 tab.; ROTAPYRETIC 10mg/ml vial for I.V. inf. 50 ML; VEDRAPHENAL 1% SOLN. FOR IV INF. 50 ML; EUPIFALGAN 10mg/ml vial for I.V. inf. 100 ML; PERFALGAN 1g/100ml (50ml) sol.for I.V.vial; TARGECETAL 10mg/ml vial for I.V. inf. 100 ML; NOVALDOL 1gm 15 tab.; GESICREST 10mg/ml vial for I.V. inf. 100 ML; MEDALGESIC 10mg/ml vial for I.V. inf. 100 ML; PYRITRUST 1% soln. I.V. inf. 100 ML; ROTAPYRETIC 10mg/ml vial for I.V. inf. 100 ML; VEDRAPHENAL 1% SOLN. FOR IV INF. 100 ML; PARACETAMOL-PHARCO B 1% soln. I.V. inf.; INJECTMOL 10mg/ml vial for I.V. inf. 100 ml; PARACETAGEN 10 mg/ml vial for I.V. inf.; PENTAMOL 10mg/ml soln. for I.V. inf.; PANADOL JOINT 18 ER TABLETS; PERFALGAN 1g/100ml (100ml) sol.for I.V.vial,"About Paracetamol; Acetanilide derivative, Non narcotic Analgesic,Antipyretic.; Mechanism of Action of Paracetamol; Paracetamol has analgesic and antipyretic action.; It is more active on cyclo-oxygenase enzyme in brain. Peripherally it is a poor inhibitor of prostaglandin synthesis.; Analgesic action: Paracetamol raises the pain threshold and produces analgesic effect.; Antipyretic action: Paracetamol lowers fever by direct action on the thermoregulatory centre in the Hypothalamus and block the effects of endogenous pyrogen.; Indications for Paracetamol; 1. To relieve pain and fever; 2. Acute gout; 3. Migraine; Interactions for Paracetamol; Cholestyramine: Reduces absorption of paracetamol.; Charcoal: Activated, administered immediately reduces absorption of paracetamol.; Domperidone and metochlopramide: Enhance absorption of paracetamol.; Alcohol: Chronic excessive ingestion of alcohol potentiates hepatotoxicity of paracetamol."
Diamonrecta,tadalafil,DIAMONRECTA 20mg 2 F.C. Tab.; ERECTALIS 20mg 2 F.C. Tab.; SNAFI 20mg 2 F.C.tab.; DIAMONRECTA 20mg 4 F.C. Tab.; CIALIS 20mg 2 F.C. Tab.; CIALIS 20mg 4 F.C. Tab.,"About Tadalafil; A Phosphodiesterase 5 enzyme inhibitor, Treating erectile dysfunction (ED).; Mechanism of Action of Tadalafil; Tadalafil is a phosphodiesterase enzyme (PDE5) inhibitor. This enzyme is responsible for the degradation cyclic guanosine monophosphate (cGMP) produced in reaction to sexual stimulation. The more cGMP is available, the more durable the erection. Tadalafil inhibits the PDE5 enzyme, preserving cGMP levels, therefore aiding erection viability and durability; Erection of the penis is caused by the filling of the penis with blood. Filling occurs because the blood vessels that bring blood to the penis increase in size and deliver more blood to the penis, and, at the same time, the blood vessels that take blood away from the penis decrease in size and remove less blood from the penis.; Sexual stimulation that leads to an erection causes the production and release of nitric oxide in the penis. The nitric oxide causes an enzyme, guanylate cyclase,"
Galvus Met,metformin hydrochloride,SUGARLO PLUS 50/850mg 10 F.C. TABS.; DIBAVALLY PLUS 50/1000 mg 14 TABS.; ICANDRA PLUS 50/1000MG 30 F.C. TABS.; GLIPTUS PLUS 50/1000mg 30 TABLETS; GLIPTUS PLUS 50/850mg 30 TABLETS; VILDAGLUSE PLUS 50/1000 mg 30 TABS.; VILGAT PLUS 50/500 mg 30 TABS.; GALVUS MET 50/1000mg 30 F.C. tabs.; GALVUS MET 50/500mg 30 F.C. tabs.; GALVUS MET 50/850mg 30 F.C. tabs.,2094
Examide,torsemide,ONCED 5 mg 10 tab.; TORASEMIDE 10 mg 10tab.; CARDIOTIMIDE 5mg 20 tab.; TORSAMOLEX 10mg 20 tabs.; CARDIOTIMIDE 20MG/2ML 3 AMP; CARDIOTIMIDE 20mg 20 tab.; TORSAMOLEX 20mg 20 tabs.; EXARETIC 20mg/2ML 3 AMP; EXAMIDE 5mg 30 tab.; TORSERETIC 5 mg 30 tab.; EXARETIC 10mg 30 tab; TORSERETIC 10 mg 30 tab.; EXAMIDE 20mg 20 tab.; TORSERETIC 20MG/2ML 5 AMP. I.V OR INF.; EXAMIDE 10mg 30 tab; EXARETIC 20mg 30 tab.; TORSERETIC 20 mg 30 tab.; EXAMIDE 10MG/ML 10 AMP. FOR I.V INJ.,"About Torsemide; Pyridine-sulfonylurea class Loop Diuretic, Antihypertensive,in CHF, Diuretic.; Mechanism of Action of Torsemide; Torsemide is a high ceiling loop diuretic which exerts it`s diuretic action by acting at site-2(thick ascending loop of Henle). It binds to Na+K+2Cl- symporter and inhibits Na+K+2Cl- co transport in luminal membrane of thick ascending loop of Henle. It inhibits sodium and chloride re absorption and promotes excretion of sodium, water, chloride, potassium, calcium, and magnesium. Torsemide does not significantly alter glomerular filtration rate, renal plasma flow, or acid base balance.; Torsemide increase local prostaglandin synthesis and increases systemic venous capacitance and decreases left ventricular filling pressure. This causes relief in left ventricular failure and pulmonary edema. It causes renal and peripheral vasodilatation and decrease in peripheral resistance."
Octovent Plus,guaifenesin,BRONCHOVENT 125ml syrup; OCTOVENT PLUS 100ml syrup; VENTOLIN EXPECTORANT 125ml syrup,"Description; An expectorant that also has some muscle relaxing action; Mechanism of action Guaifenesin may act as an irritant to gastric vagal receptors, and recruit efferent parasympathetic reflexes that cause glandular exocytosis of a less viscous mucus mixture. Cough may be provoked. This combination may flush tenacious, congealed mucopurulent material from obstructed small airways and lead to a temporary improvement in dyspnea or the work of breathing."
Voltaren,diclofenac diethylamine,VOLTAREN 1% (15g) emulgel; VOLTAREN 1% (25g) emulgel; VOLTAREN 1% (50g) emulgel; VOLTAREN 1% (100g) emulgel,"Description; A non-steroidal anti-inflammatory agent (NSAID) with antipyretic and analgesic actions.; ; Indication; For the acute and chronic treatment of signs and symptoms of osteoarthritis and rheumatoid arthritis.; ; Mechanism of action; The antiinflammatory effects of diclofenac are believed to be due to inhibition of both leukocyte migration and the enzyme cylooxygenase (COX-1 and COX-2), leading to the peripheral inhibition of prostaglandin synthesis. As prostaglandins sensitize pain receptors, inhibition of their synthesis is responsible for the analgesic effects of diclofenac. Antipyretic effects may be due to action on the hypothalamus, resulting in peripheral dilation, increased cutaneous blood flow, and subsequent heat dissipation."
Somazina,citicholine,SHANCITA 100MG/ML 30 ML ORAL DROPS; SHANCITA 500MG/4ML 5 AMP FOR IV/IM INJ.; FORTAMIND 100mg/ml 30 ML oral drops; SOMAZINA 100mg/ml oral drops 2*10 ml; FORTAMIND 500mg/4ml 5 amp for IV/IM inj.; SOMAZINA 100mg/ml oral drops 30 ml; SOMAZINA 500mg/4ml 5 amp for IV/IM inj.,"Citicoline is a brain chemical that occurs naturally in the body. As a medicine, it is taken by mouth as a supplement or given by IV or as a shot.; Citicoline is used for Alzheimer s disease and other types of dementia, head trauma, cerebrovascular disease such as stroke, age-related memory loss, Parkinson s disease, attention deficit-hyperactive disorder (ADHD), and glaucoma."
Carvid,carvedilol,CARLOL-V 12.5mg 10 F.C.tab.; CARVENA 12.5mg 10 F.C.tab.; VEDOCARD 3.125mg 30 F.C. tabs.; VIDILOL 12.5mg 10 tab; VIDILOL 25mg 10 tab; CARVIPRESS 6.25mg 20 Scored tab.; CARDILOL 6.25mg 30 tab.; CARLOL-V 6.25mg 30 F.C.tab; KARVEX 6.25mg 30 tab.; CARVIPRESS 12.5mg 20 tab.; CARVIPRESS 25mg 20 scored tab.; CARVID 6.25mg 20 tab.; CARVILOC 25mg 20 SCORED TABS.; DILATROL 6.25mg 30 tab.; KARVEX 25mg 30 tab.; CARLOL-V 25mg 30 F.C.tab; CARDILOL 25mg 30 tab.; DILATREND 6.25mg 30 tab.; CARVEDILOL 25mg 30 tab; DILATROL 25mg 30 tab.; CARVID 25mg 20 tab.; DILATREND 25mg 30 tab.,"About Carvedilol; Beta Blocker With Alpha- Adrenergic Blocking Activity, Antihypertensive and Anti angina.; ; Mechanism of Action of Carvedilol; Carvedilol is an adrenergic antagonist capable of blocking alpha-1, beta-1, and beta-2 receptors. It produces vasodilatation through alpha-1 blockade as well as direct action. It decreases peripheral resistance, heart rate and blood pressure. It prevents reflex tachycardia. It also exerts it`s pharmacological actions through additional actions like Ca2+ entry blockade , anti oxidant action, antiproliferative action, & membrane stabilizing action. It does not harm lipid profile.Carvedilol improves ventricular function and reduces morbidity and mortality in patients with congestive heart failure.; ; Indications for Carvedilol; 1.Hypertension; 2.Congestive heart failure; 3.Stable angina pectoris"
B-Fresh,cetylpyridinium,EZAFLUOR mouth wash 120 ML; B-FRESH 0.05% (250ml) mouthwash; B-FRESH 0.05% (500ml) mouthwash,"About Cetylpyridinium chloride; A cationic quaternary ammonium compound with strong bactericidal and resistance to fungi, Antiseptic agent, antiplaque and antigingivitis.; Mechanism of Action of Cetylpyridinium chloride; Cetylpyridinium chloride is an antiseptic which exhibits antimicrobial properties against a number of oral bacteria and fungi. It possesses antiplaque and antigingivitis properties."
B-Fresh,cetylpyridinium,EZAFLUOR mouth wash 120 ML; B-FRESH 0.05% (250ml) mouthwash; B-FRESH 0.05% (500ml) mouthwash,"About Cetylpyridinium chloride; A cationic quaternary ammonium compound with strong bactericidal and resistance to fungi, Antiseptic agent, antiplaque and antigingivitis.; Mechanism of Action of Cetylpyridinium chloride; Cetylpyridinium chloride is an antiseptic which exhibits antimicrobial properties against a number of oral bacteria and fungi. It possesses antiplaque and antigingivitis properties."
Deltavit,cyanocobalamine,CYANOCOBALAMINE 1000 mcg inj.; CIDOLVEX 1mg/ml I.M amp.; BETO-12 1mg/ml 2 amp.; RUBIVAMIN 1000mcg 5 amp.; DELTAVIT B12 1mg 30 sublingual tab.; BETOLVEX 1mg/ml 2 amp.; B12 SR 1000mcg 20 cap.; NASO-CYANOCOBALAMIN 500mcg/dose 2.3ml nasal spray,"Description; Cyanocobalamin (commonly known as Vitamin B12) is the most chemically complex of all the vitamins. Cyanocobalamin�s structure is based on a corrin ring, which, although similar to the porphyrin ring found in heme, chlorophyll, and cytochrome, has two of the pyrrole rings directly bonded. The central metal ion is Co (cobalt). Cyanocobalamin cannot be made by plants or by animals, as the only type of organisms that have the enzymes required for the synthesis of cyanocobalamin are bacteria and archaea. Higher plants do not concentrate cyanocobalamin from the soil and so are a poor source of the substance as compared with animal tissues. Cyanocobalamin is naturally found in foods including meat (especially liver and shellfish), eggs, and milk products.; ; Mechanism of action Vitamin B12 is used in the body in two forms: Methylcobalamin and 5-deoxyadenosyl cobalamin. The enzyme methionine synthase needs methylcobalamin as a cofactor. This enzyme is involved in the conversion"
Viatrazo,terconazole,GYNOCONAZOL 0.4% vag. cream 30 GM; GYNOMONIX 0.4% vag. cream 30 GM; GYNOCONAZOL 0.8% vaginal cream 30 GM; VIATRAZO 0.8% vaginal cream 30 GM; GYNOCONAZOL 80mg 3 vag. supp.; GYNOMONIX 80 MG 3 VAG. OVULES; VIATRAZO 80mg 3 vag. supp.; TERCOMAGICTAM 0.8% vaginal cream 30 GM,"Indication For the treatment of candidiasis (a yeast-like fungal infection) of the vulva and vagina.; Mechanism of action Terconazole may exert its antifungal activity by disrupting normal fungal cell membrane permeability. Terconazole and other triazole antifungal agents inhibit cytochrome P450 14-alpha-demethylase in susceptible fungi, which leads to the accumulation of lanosterol and other methylated sterols and a decrease in ergosterol concentration. Depletion of ergosterol in the membrane disrupts the structure and function of the fungal cell leading to a decrease or inhibition of fungal growth."
Sekem,achillea,SEKEM ANTIDIARRHOEA HERBS 10 FILTER BAGS,; ; 
Controloc,pantoprazole,PANTOLOC 40mg 7 tab.; PEPTOLOC 40mg 7 tab.; PROTOLOC 20 mg 14 enteric coated tab.; ANTOPRAL 40mg 7 tab.; JERDAZOLIN 40mg 14 enteric coated tabs.; PANTOLOC 20mg 14E.C.tab.; PANTOPRAZOLE 40mg 14 tab.; PROTOFIX 20 MG 14 F.C. Tab.; PERLOC 40mg 7 F.C.tab.; PANTAZOL 40mg vial; PEPTOLOC 40mg 14tab.; ANTOPRAL 20 mg 14 tab.; DELPANTO 20mg 14 enteric coated tab.; PANTOMERICAN 20 MG 21 F.C. TABS.; PANTOPI 40mg 14 enteric coated tab.; ANTOPRAL 40mg I.V. VIAL 15 ML; PANTOLOC 40mg VIAL FOR INF.; PANTAZOL 40mg 14 enteric coated tab.; ZURCAL 20 mg 14 gastro resistant tab.; PANTOMERICAN 40 MG 21 F.C. TABS.; PERLOC 40mg I.V. VIAL; PROTOFIX I.V. 40mg vial; ZURCAL 40mg vial for I.V. inj.; CONTROLOC 20mg 14 gastroresistant tab.; STRINGAZOL 40MG 21 ENTERIC COATED TAB.; PANTOPI 20mg 20 enteric coated tabs.; PROTOFIX 40 MG 14 F.C. Tab.; ANTOPRAL 40mg 14 tab.; PANTOLOC 40mg 14 tab.; CONTROLOC 40mg I.V.vial; CONTROLOC 40mg 14 gastroresistant tab.; ZURCAL 40 mg 28 gastro resistant tab.,"About Pantoprazole; A proton pump inhibitor, Benzimidazole derivative, Anti ulcer.; Mechanism of Action of Pantoprazole; Pantoprazole is a proton pump inhibitor. It is a prodrug. After administration it diffuses in to the parietal cell of the stomach and accumulates in the secretory canaliculi. In the acidic medium Pantoprazole is converted to sulfenamide. This sulfenamide covalently interacts with sulfhydryl (SH) group in the proton pump; (H+ K+ATPase) and inhibits the exchange of extracellular K+ for intracellular H+ ion. Pantoprazole irreversibly inhibits proton pumps activity and decreases gastric acid secretion. Pantoprazole is more acid stable and its activity is lowered in higher pH. It is the only proton pump inhibitor which is available as parenteral form."
Atacand Plus,candesartan cilexetil,CANDESAR COMP 32/12.5 mg 7 Tab.; CANDESAR COMP 16/12.5 mg 14 Tab.; SARCOZIDE 16/12.5mg 20 tabs.; CANDEBLOCK- D 16/12.5mg 20 tab.; CANDALKAN PLUS 16/12.5 mg 14 F.C.tab.; ALBUSTIX D 16/12.5mg 30 tab.; GEOCAND PLUS 16/12.5mg 21 tab.; BLOPRESS PLUS 8/12.5mg 28 tabs; CANDALKAN PLUS 32/12.5 mg 14 F.C. Tab.; ATACAND PLUS 16/12.5 mg 14 tabs.; ALBUSTIX D 32/12.5mg 30 tab.; BLOPRESS PLUS 16/12.5 mg 28 tabs.; ATACAND PLUS 32/25 mg 14 tabs.,"About Candesartan Cilexetil; Angiotensin || Antagonist, Antihypertensive agent; Mechanism of Action of Candesartan Cilexetil; It is a antagonist of angiotensin 2 at AT-1 receptor.It decreases peripheral resistance and lowers BP in hypertensive individuals. It blocks all actions of angiotensin-2 such as 1.Vasoconstriction,2. Central and peripheral sympathetic stimulus,3. Release of aldosterone and adrenaline,4. Salt and water reabsorption ,5.Central actions like thirst,vasopressin release, and growth promoting actions on heart and blood vessals; Indications for Candesartan Cilexetil; Hypertension; Interactions for Candesartan Cilexetil; Diuretics and other antihypertensives: Increased risk of hypotension; Lithium: Increased lithium blood level; NSAID: Decreased antihypertensive effect; Potassium sparing diuretics, Potassium supplements: Increased risk of hyperkalemia"
Pk-merz,amantadine,VIRAFLU 100MG 10 CAPS.; AMANTINE 100MG 24CAPS.; ADAMINE 100MG 20 CAPS.; PK-MERZ 100mg 30 F.C.tab.; INFEX 100mg 60 F.C.tab.; PK-MERZ 200mg/500ml sol. for IV inf.,"(Indications) :; This medication is a synthetic anti-viral and antiparkinson agent, prescribed for Parkinson s disease and also for treating certain types of flu. It also is used to prevent and treat respiratory infections caused by influenza A virus; ; (Dosage) :; - Influenza A -100 mg/day for 5 days.; - Herpes zoster- 100 mg twice daily for 14 days, may continue for another 14 day if pain persists.; Parkinson s disease-100 mg/day, up to 100 mg twice daily after 1 wk. Max: 400 mg/day"
Omnic Ocas,tamsulosin,CUREPRO XR 0.4mg 10 hard gelatin Caps.; TAMIC 0.4MG M.R 10 CAP.; TAMSULIN 0.4MG 14 CAPS.; TAMSUNORM S.R. 0.4mg 30 Caps.; TAMSULOSIN 0.4mg 20 Caps.; FIRAMAZIN 0.4MG 30 H.G.CAPS.; KEMPROST 0.4MG 20 CAPS.; LOSIPROST 0.4 mg 30 cap.; BLOCK ALPHA 0.4mg MR 30 hard gelatin Caps.; TAMSUL 0.4MG 30 CAPSULE; OMNIC 0.4mg 30 modified release Caps.; OMNIC OCAS 0.4 30 prolonged release F.C.tab.,"About Tamsulosin; Selective Alpha1a Adrenergic Antagonist, For benign prostatic hyperplasia.; Mechanism of Action of Tamsulosin; Tamsulosin is adrenergic alpha receptor antagonist. It inhibits alpha 1A and alpha 1D subtype receptors. Tamsulosin selectively inhibits alpha 1A receptor in the prostate and leads to relaxation of smooth muscles in the bladder neck and prostate. This will improve urine flow and reduces BPH symptoms.; Adrenergic nerves releases adrenalin which produces contraction of muscles. Tamsulosin is selectively inhibit alpha 1A receptor in the prostate and bladder neck and relaxes the muscles and decrease the obstruction to the flow of urine in prostate hypertrophy.; Indications for Tamsulosin; 1. Benign Prostatic hyperplasia (BPH); ; ; Interactions for Tamsulosin; Cimetidine: Results in significant decrease in clearance of tamsulosin AUC.; Alpha adrenergic blocking agents: Tamsulosin should not be used in combination with other alpha adrenergics."
Cyteal,chlorhexidine,MICROFREE antiseptic foaming sol. 250 ML; CYTEAL antiseptic foaming soln. 250 ML; DOUCHEAL-N INTIMATE FEMININE WASH 250 ML,"Mechanism of Action of Chlorhexidine; This drug has positive charge so it attach to the negative charge cell wall. This destabilizes and destroys the integrity and penetrates bacterial cell membranes. It results precipitation of the cytoplasm and interferes with membrane function by inhibiting oxygen utilization leading to a decrease in cellular ATP levels and cell death. In gram-negative bacteria, chlorhexidine affects the outer membrane allowing the release of periplasmic enzymes. The inner membrane of these organisms is not ruptured but the uptake of small molecules is impai"
Chromium,chromium picolinate,NUTRA CHROM 20 TABLETS; CHROMIUM MEPACO 20 CAPS; ACT LIFE 20 CAPSULES,During weight control programs
Corasore,heptaminol,HEPTA 150mg/ml oral drops 10 ML; CORASORE 150mg/ml oral drops 15 ML; RESPIRIN 150mg/ml oral drops; CORASORE 150mg 20 tab.; HEPTAMINOL 150mg 20 TABS.,Description of Heptaminol; Heptaminol: An amino alcohol that has been used as a myocardial stimulant and vasodilator and to relieve bronchospasm. Its most common therapeutic use is in orthostatic hypotension. The mechanism of heptaminol s therapeutic actions is not well understood although it has been suggested to affect catecholamine release or calcium metabolism.
Tritace,ramipril,BIGASTUS 1.25 mg 7tab.; RAMIPRESS 1.25 mg 7 F.C.tab.; RAMPECARDIN 1.25mg 7 TABS; CORPRIL 1.25mg 7Caps.; RAMACEIN 1.25mg 7 tab.; RAMIPRIL 1.25mg 7 Caps.; RAMITAC 2.5mg 8 tab.; RAMPECARDIN 2.5 mg 7 TABS; RAMIPRESS 5 mg 7 F.C.tab.; RAMACEIN 2.5mg 7 tab.; RAMIPRIL 2.5mg 7 Caps.; CORPRIL 2.5mg 7Caps.; RAMPECARDIN 5 mg 7 TABS; RAMPITENSIVE 2.5mg 10tab.; RECARDOPRIL 2.5mg 10tab.; RECARDOPRIL 5mg 10tab.; RAMACEIN 5mg 7 tab.; RAMIPRIL 5mg 7 Caps.; RAMPITENSIVE 5mg 10tab.; RAMPECARDIN 10 mg 7 TABS; RAMIPRIL 10 mg 7 Caps.; CORPRIL 5mg 7 Caps.; TRITACE 1.25mg 14 tab.; RECARDOPRIL 10mg tabs.; RAMPITENSIVE 10mg 10tab.; TRITACE 2.5mg 14 tab.; TRITACE 5mg 14 tab.; RIGHT-ACE 5mg 30 tab.; TRITACE PROTECT 10 mg 20 tab.; RIGHT-ACE 10 mg 30 tab.,"About Ramipril; Angiotensin - converting enzyme inhibitor, Antihypertensive.; Mechanism of Action of Ramipril; It is a prodrug and converted in to active Ramiprilat- which is an angiotensin converting enzyme inhibitor prevents the conversion of angiotensin-1 to angiotensin-2 and abolishes the pressor actions of angiotensin. It decreases aldosterone secretion, sodium and water retention, and total peripheral resistance, leads to fall in BP. The arterioles dilate and the compliance of larger arteries is increased. Both systolic and diastolic BP is lowered. The drug does not compromise renal, cerebral, and coronary blood flow. The drug also increases plasma kinin levels and potentiate the hypotensive action of exogenously administered bradykinin. It is used for treatment of systolic heart failure, because it improves symptoms, decrease mortality and reduce ventricular hypertrophy. It reduces both preload and after load and thus increasing cardiac out put in patients with heart failure."
Brintellix,vortioxetine,BRINTELLIX 10mg 14 F.C. Tab.; BRINTELLIX 20mg 14 F.C. Tab.,Vortioxetine is an atypical antidepressant (a serotonin modulator and stimulator).; Vortioxetine is used as a treatment for major depressive disorder.
Erastapex CO,amlodipine,ERASTAPEX CO 5/20mg 30 F.C. TABS.; ERASTAPEX CO 5/40mg 30 F.C. TABS.; ERASTAPEX CO 10/40mg 30 F.C. TABS.,"The combination drug olmesartan/amlodipine is an oral antihypertensive medication which combines two antihypertensive agents in a film-coated tablet. It contains amlodipine, a calcium channel blocker, and olmesartan medoxomil an angiotensin-2 receptor antagonist."
Moodapex,sertraline,SERONORM 25mg 10 tab.; SERONORM 100mg 10 tab.; SERTRALINE 25mg 20 F.C. Tab.; DEPR-STAT 50mg 10 Caps.; SERTRAL 50mg 10 tab.; SIRTO 50mg 10 F.C. tabs.; SERTRALINE 20mg/ml oral concentrate 60 ML; OPIRALINE 100mg 10f.c.tab.; SERPASS 100mg 10f.c.tab.; AGRELOCIT 50 MG 20 tab.; SERLIFT 100mg 10f.c.tab.; SERPASS 50mg 30 F.C.tab.; MOODAPEX 50mg 30 F.C.tab.; SESERINE 50mg 30 tab.; LUSTRAL 50mg 20 F.C. Tab.,"About Sertraline; Selective Serotonin Reuptake Inhibitor (SSRI), Antidepressant, Antidepressant; Mechanism of Action of Sertraline; Sertraline blocks the re-uptake of neurotransmitter Serotonin from the synapse in to the presynaptic nerve terminal in the CNS. This will prolong the action of Serotonin (5HT) and it is useful in the treatment of depression.; Side Effects of Sertraline; 1. Insomnia; 2. Nausea; 3. Diarrhoea; 4. Headache; 5. Fatigue; 6. Dizziness; 7. Tremor; 8. Somnolence; 9. Dry mouth; 10. Anorexia; 11. Impotence; 12. Increased sweating; 13. Constipation; 14. Dyspepsia; 15. Agitation; 16. Malaise; 17. Abdominal pain"
Comtrex,brompheniramine,COMTREX ACUTE HEAD COLD 20 F.C.tab.,447
Mirtimash,mirtazapine,RAMIZIPINE 30 mg 10 F.C. TABS.; RAPIZAPINE 30 mg 10 tab.; MIRTOFUTAL 30 mg 10 F.C. TABS.; MIRTADEPINE 30 mg 10 tab.; REMERON SOLTAB 30mg orodisp.tabs.; APRIMERTAZ 30 mg 10 F.C. TABS.; REMERON 30mg 10 Tab.; MIRTIMASH 30 mg 30 SCORED F.C. TABS.,"About Mirtazapine; Tetracyclic Antidepressant, piperazino-azepine group, Antidepressant.; Mechanism of Action of Mirtazapine; Mirtazapine antagonizes alpha 2 adrenergic receptors, 5HT2 and 5HT3 receptors. This will enhance noradrenergic and serotonergic activities. Mirtazapine also has potent antihistamine activity. The increase in concentration of neurotransmitters produces antidepressant activity.; ; Indications for Mirtazapine; Depression; Interactions for Mirtazapine; Drugs that are metabolised by and/or inhibit cytochrome P450 enzymes: Mirtazapine is not a potent inhibitor of various cytochrome P450 enzymes.; Alcohol: Impairment of cognitive and motorskills produced by mirtazapine has been shown to be additive to those produced by alcohol. Patients are advised to avoid alcohol while taking mirtazapine."
Crestor,rosuvastatin,EPIROVASTIN 10mg 7 SCORED F.C. Tab; PENTASTATIN 5 mg 7f.c.tabs.; EPIROVASTIN 20mg 7 F.C. Tab; FROSITOR 5 mg 10 F.C. TABS.; ROSUMOP 10mg 14 F.C. TABS.; CRESTATIN 10 mg 10 F.C. Tabs.; LIPOREGISTATE 5mg 14 F.C. tabs.; NOVISTORIC 10mg 14 F.C. tab.; ROSUMOP 20mg 14 F.C. TABS.; ROSUVASTATIN 10mg 10 F.C. tab.; ROSUVASTATIN 20mg 14 F.C. tab.; CEMICRESTO 10 mg 14 F.C. tabs.; JUSTECHOL 20mg 7 F.C. TABS.; CHOLEROSE 5 mg 14 F.C.tab.; ROSITOR 10mg 14 F.C.tab; JUSTECHOL 5 MG 21 F.C. TABS.; BEMASTRIM 10 mg 7 F.C. Tab.; CRESTOR 5mg 7 F.C. tab.; JUSTECHOL 10 mg 14 F.C. TABS.; FROSITOR 10 mg 10 F.C. TABS.; CEMICRESTO 20 mg 14 F.C. tabs.; DECONADAL 10 mg 21 F.C. tabs.; ROSITOR 20mg 14 F.C.tab; ROSUVAST 5mg 14 F.C. TABS.; NOVISTORIC 20mg 14 F.C. tab.; DECONADAL 20 mg 14 F.C. tabs.; STATIROSE 20mg 10 tab.; VASTASIERO 10mg 20 F.C. TABS.; ADVOCHOL 10mg 14 F.C. TABS.; CHOLEROSE 10 mg 21 F.C.tab.; JUSTECHOL 20mg 14 F.C. TABS.; ROSUVAST 10mg 14 F.C.tab; MEROSATIN 10mg 14 F.C.tab.; ESTERO-MAP 10mg 20 F.C.tab.; VASTASIERO 20mg 20 F.C. TABS.; CHOLEROSE 20mg 21 F.C. tabs.; ESTERO-MAP 20mg 20 F.C. Tab.; ROSUVAST 20 mg 14 F.C.tab.; SUVIKAN 10mg 14 F.C.tab.; CRESTOLIP 10mg 30 F.C. tabs.; SUVIKAN 20mg 14 F.C. Tab.; ADVOCHOL 10mg 28 F.C. TABS.; CRESTOLIP 20mg 30 f.c.tab.; JUSTECHOL 20mg 28 F.C. TABS.; CRESTOR 20mg 14 F.C.tab.; CRESTOR 10mg 28 F.C.tab.,"About Rosuvastatin; Statin, HMG-CoA Reductase Inhibitor, Antilipemic.; Mechanism of Action of Rosuvastatin; It is a hypolipidaemic statin which competitively inhibits the conversion of 3-hydroxy-3-methyl glutaryl coenzyme A (HMG CoA) to mevalonate. The drug exerts it`s action by specific inhibition of enzyme- 3-hydroxy-3-methyl glutaryl coenzyme A reductase (HMG CoA reductase) and reduces cholesterol synthesis up to 50% at therapeutic doses. This results in compensatory increase in low density lipoprotein (LDL) receptor expression in liver which ultimately leads to increased receptor mediated uptake and catabolism of intermediate density lipoprotein(IDL) and low density lipoprotein (LDL). It causes dose dependent lowering of LDL cholesterol and reduces hepatic synthesis of very low density lipoprotein (VLDL) and lowers plasma triglyceride levels. It also increases high density lipoprotein (HDL) levels."
