Medicine Name,Active Ingredient,Alternatives,Pharmacology,Image_URL
Andopoxetine,dapoxetine,DAPOXEMED 30 mg 3 f.c.tabs.; WESTOXETIN 30 mg 3 F.C. Tabs.; ANDOPOXETINE 30 mg 3 F.C.tabs.; ANDOPOXETINE 60 mg 3f.c.tabs.; DAPOXTARD 60mg 3 f.c. tabs.; FORTRUSTREP 30 mg 6 f.c. tabs.; JOYPOX 30 mg 3 F.C. tabs.; JOYPOX 60 mg 3 F.C. tabs.; DURJOY 60 MG 3 F.C. TABS.; FORTRUSTREP 60 mg 6 f.c. tabs.; DERILGY 30 mg 3 f.c.tabs.; DELEPE 30 mg 3 f.c.tabs.; DURJOY 30 mg 3 F.C.tabs.; JOYPOX 60 mg 6 F.C. tabs.; DERILGY 60 mg 3 f.c.tabs.; MATUJAC 60 MG 3 F.C. TABS.; TARDANZA 60mg 3 F.C. TABS.; DELEPE 60 mg 3 f.c.tabs.,About Dapoxetine; Dapoxetine is a short-acting selective serotonin reuptake inhibitor (SSRI) marketed for the treatment of premature ejaculation in men.; ; Mechanism of Action of Dapoxetine; The mechanism of action of dapoxetine in premature ejaculation is presumed to be linked to the inhibition of neuronal re-uptake of serotonin and the subsequent potentiation of the neurotransmitter s action at pre- and postsynaptic receptors.; ; Interactions for Dapoxetine; 1.SSRIs; 2.MAOIs &thioridazine; 3.Synergisic action with ketoconazole.; ; Typical Dosage for Dapoxetine; Maximum 240 mg in divided doses per day.,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1627824042andopoxetine-60mg-chefaajpeg
Milga,benfotiamine,MILGA 30 F.C. Tab.,,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/milga-nerve-tonic-40tab-rmoz-01682793084.png
Ceclor,cefaclor,CEFBIOLOR 250 mg hard gelatin 10Caps.; CEFACLOR 125mg/5ml 60ml susp.U.S.P.23; CEFBIOLOR 250mg/5ml pd. for oral 60ml susp.; BACTICLOR 125mg/5ml 60ml susp.; CEFACLOR 250mg 12 Caps.; CEFACLOR 250mg/5ml 60ml susp.U.S.P.23; CLOROCEF 250mg/5ml susp. 60 ML; CEFACLOR 500mg 12Caps.USP 23; CECLOR 125mg/5ml 75ml susp.; MISACLOR 250mg/5ml pd. for oral 60ml susp.; BACTICLOR 500 mg 12Caps.; MISACLOR 125mg/5ml pd. for oral 60ml susp.; CLORACEF MR 500mg 10 f.c. tab.; BACTICLOR 250 mg/5ml 60ml susp.; MISACLOR 500 MG 12 CAPS.; CLORACEF MR 750mg 10 f.c. tabs.; CECLOR 250mg/5ml 75ml susp.,"About Cefaclor; A second-generation cephalosporin antibiotic, Oral Broad-spectrum antibiotics.; ; Mechanism of Action; Cefaclor is a 2nd generation cephalosporin which exerts its bactericidal action against both gram positive & gram negative organisms by inhibiting bacterial cell wall synthesis. Cefaclor inhibits transpeptidase & thus prevents cross linking of bacterial cell wall. Transpeptidase & associated proteins constitute various types of specific binding proteins which have affinity for cephalosporins like Cefaclor.; Cefaclor has more activity against ampicillin resistant haemophilus influenzae and branhamella catarrhalis; ; Indications for Cefaclor; 1.Pneumonia & Pulmonary infections; 2.Otitismedia; 3.Urinary tract infections & genital tract infections; 4.Pharyngitis & Tonsillitis; 5.Skin & wound infections; 6.Bronchitis & Sinusitis",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/ceclor-antibiotic-125mg-75ml-susp-qvvy-01665060368.png
Sandimmun Neoral,cyclosporin,ANABRAMMUNE 75 MG 10 TABS.; ABRAMMUNE 25 MG 10 CAPS; ABRAMMUNE 50 MG 10 CAPS; CYCLOMOCOND 0.05% ophthalmic emulsion vials; ARPIMUNE ME 25mg 50 soft gelatin Caps.; SANDIMMUN NEORAL 25mg 50 Caps.; ABRAMMUNE 50mg/ml SYRUP; ARPIMUNE ME 50mg 50 soft gelatin Caps.; SANDIMMUN NEORAL 50mg 50 soft gelatin Caps.; ABRAMMUNE 100mg/ml SYRUP; ARPIMUNE ME 100mg 50 soft gelatin Capsule; SANDIMMUN NEORAL 100mg 50 soft gelatin Caps.; SANDIMMUN NEORAL 100 mg/ml oral solution,"About Cyclosporin A; A cyclic nonribosomal peptide(11 amino acids) immunosuppressant drug, Organ transplant rejection prevention.; ; Mechanism of Action of Cyclosporin A; Cyclosporine binds to the cytosolic protein cyclophilin (immunophilin) of immunocompetent lymphocytes, especially T-lymphocytes. This complex inhibits calcineurin, which is responsible for activating the transcription of interleukin 2. It also inhibits lymphokine production and interleukin release and therefore leads to reduced function of effecter T-cells. Drug prevents mitochondrial PT pore from opening and inhibits cytochrome C release and also apoptosis induced by it.; ; Indications for Cyclosporin A; 1. Organ transplant rejection; 2. Rheumatoid arthritis; 3. Crohn`s syndrome; 4. Nephrotic syndrome; 5. Psoriasis; 6. Ulcerative colitis; 7. Uveitis; 8. Neuroprotection in traumatic brain injury; 9. Aplastic anemia; 10. Myasthenia gravis; 11. Dermatomyositis",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/sandimmun-neoral-100mg-50cap-zxem-01669467082.png
Miconaz,miconazole,MICOBAN 2% topical powder 10 GM; ADCOZOLE 2% topical CR. 15 GM; MICONOL 2% cream 15 GM; MICONOL 2% POWDER 20 GM; DERMOZOL 2% gel 15 GM; MONICURE 200mg 6 vaginal supp.; MYCOPHARM 2% tincture 30 ML; MYKOTRAL 2% topical powder 20 GM; MICO ORAL 2% oral gel; MICOBAN 2% cream 20 GM; MICAZOLE 2gm/100gm 20g oral gel; BUCCAZOLE 2% oral gel; MICOBAN 100mg 6 vaginal supp.; MONICURE 400mg 3 vaginal supp.; MYKOTRAL 200mg 6 Vag. tabs.; MYKOTRAL TINCTURE 2% topical paint; MICONAZ 2% cream 20 GM; MYKOTRAL 400mg 3 Vag. tabs.; MICONAZ 2% powder 20 GM; PEOPODAK 1200 mg 1 vaginal Ovule; PEOPODAK 400mg 3 vag. Ovule; MICAZOLE 2gm/100gm 40g oral gel; MICONAZ 2% oral gel 20 GM; DAKTARIN 2% cream 15 GM; GYNO-MYKOTRAL 2% vaginal cream 40 GM; MICOBAN 2% topical soln. 30 ML; MICONAZ 400mg 3 VAGINAL OVULES; GYNOZOL 200mg 6 VAG. OVULES; GYNOZOL 400mg 3 VAG. OVULES; MICONAZ 2% LIQUID SPRAY 60 ML; MICONAZ 2% POWDER SPRAY 60 ML; GYNO-DAKTARIN 400mg 3 vaginal ovules; GYNO-DAKTARIN 2% vaginal cream 40 GM; GYNOZOL 2% vaginal cream 40 GM; DAKTARIN 2% oral gel 40 GM,"About Miconazole; An imidazole derivative, Broad spectrum Antifungal.; ; Mechanism of Action of Miconazole; Miconazole is fungicidal or fungistatic depending on the drug concentrations. I t inhibits the conversion of Lanosterol to 14 demethyl Lanosterol by inhibiting the cytochromeP450 enzyme 14 alpha demethylase and impair ergosterol synthesis; Indications for Miconazole; 1.Tinea versicolor; 2.Vulvovaginal candidiasis; 3.Tinea pedis; 4.Tinea corporis; 5.Tinea cruris; 6.Otomycosis; 7.Onychomycosis; 8.Oral candidiasis; 9.Intestinal candidiasis; 10.Diaper dermatitis",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1628606577miconaz-2-oral-gel-20gm-chefaajpeg
Bisolvon,bromhexine,SOLVIN 2 mg/ml oral drops 15 ML; BROMHEXINE 4mg/5ml 120ml syrup; MUCLEAR 4mg/5ml 120ml syrup; SOLVIN N 80mg/100ml 60ml syrup; SOLVIN 8mg 20tab.; BISOLVON 10mg/5ml ORAL OR INH. DROPS. 40 ML; BISOLVON 4mg/2ml 5 AMPOULES; BISOLVON 8mg 20 tab.; BISOLVON 4mg/5ml elixir 115 ML,About BromhexineSMucolytic (secretolytic)SSMechanism of Action of BromhexineSBromhexine hydrochloride acts as a mucokinetic and mucolytic agent. It decreases mucus viscosity by altering its structure. It depolymerises mucopolysaccharides directly as well as by liberating lysosomal enzymes and network of fibres in tenacious sputum is broken. It induces thin copious bronchial secretion.SSIndications for BromhexineS1. As Expectorant and mucolytic S2. Conditions associated with production of viscid mucous S3. Bronchitis S4. Pharyngitis S5. Laryngitis S6. Rhinitis S7. Sinusitis S8. Asthmatic bronchitis S9. Mucous bronchiectasis S10.Chronic Pneumonia.SSdoseSOral: 8mg thrice daily. SChildren (5 to 10 years): 4mg thrice daily SChildren (1 to 5 years): 4mg twice da,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/bisolvon-ampoule-4mg2ml-5-amp-ntav-01685877446.png
Femogesal,ethinyl estradiol,GYNOCEPT 21 F.C. TAB.; FEMOGESAL 0.03/0.075MG 21 F.C. TABS.; GYNERA 21 coated tab.,"About Ethinyl estradiol; Synthetic Estrogen(a derivative of estradiol), In Combined oral contraceptive,Anti neoplastic.; Mechanism of Action of Ethinyl estradiolSThe drug exerts it`s pharmacological action by binding to specific nuclear estrogen receptors present in target cells and regulating protein synthesis and thus producing desired therapeutic effects. Estrogen receptors are found in female sex organs, breast, pituitary, liver, bone, blood vessels, heart, CNS, hormone sensitive breast carcinoma cells, hormone responsive prostate carcinoma cells. Agonist binding to ligand binding domain of these receptors results in receptor dimerization and interaction with ""estrogen response elements"" of target genes and thus promotes gene transcription- through certain coactivator proteins which ultimately leads to modification of protein synthesis. SIt causes growth and development of female sex organs, maintains proper female sexual functioning. It exerts week anabolic action,",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/femogesal-contraceptive-21tab-kvkb-01666259109.png
Gynoconazol 0.4%,terconazole,GYNOCONAZOL 0.4% vag. cream 30 GM; GYNOMONIX 0.4% vag. cream 30 GM; GYNOCONAZOL 0.8% vaginal cream 30 GM; VIATRAZO 0.8% vaginal cream 30 GM; GYNOCONAZOL 80mg 3 vag. supp.; GYNOMONIX 80 MG 3 VAG. OVULES; VIATRAZO 80mg 3 vag. supp.; TERCOMAGICTAM 0.8% vaginal cream 30 GM,"Indication For the treatment of candidiasis (a yeast-like fungal infection) of the vulva and vagina.; Mechanism of action Terconazole may exert its antifungal activity by disrupting normal fungal cell membrane permeability. Terconazole and other triazole antifungal agents inhibit cytochrome P450 14-alpha-demethylase in susceptible fungi, which leads to the accumulation of lanosterol and other methylated sterols and a decrease in ergosterol concentration. Depletion of ergosterol in the membrane disrupts the structure and function of the fungal cell leading to a decrease or inhibition of fungal growth.",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1628794107gynoconazol-04-vag-cream-30gm-chefaajpg
Tobradex,dexamethasone,RAMEDAMYCIN PLUS eye drops 5 ML; FARCOBRASONE OPHTH. SUSP. 5 ML; DEXATOB eye drops; THALMOTOBRIN D eye drops. 5 ML; TOBRABIOTIC PLUS OPHTH. SUSP. 5 ML; SELECTOMYCIN D eye drops 5 ML; TOBRACOID eye drops 5 ML; T GRAND PLUS eye drops 5 ML; CO- AVAZIR sterile ophthalmic 5ml susp.; DEXATOBRIN EYE SUSP. 5 ML; DEXATOBRIN ophth. oint. 5 GM; OPTIDEX -T eye drops 5 ML; CO- AVAZIR sterile ophthalmic 10ml susp.; TOBRADEX eye.oint. 3.5 GM; TOBRADEX eye susp. 5 ML,"About Dexamethasone; A potent synthetic glucocorticoid, Antiasthmatic, anti-inflammatory and immunosuppressant.; Mechanism of Action of Dexamethasone; The drug exerts it`s pharmacological action by penetrating and binding to cytoplasmic receptor protein and causes a structural change in steroid receptor complex. This structural change allows it`s migration in to the nucleus and then binding to specific sites on the DNA which leads to transcription of specific m-RNA and which ultimately regulates protein synthesis. It exerts highly selective glucocorticoid action. It stimulates the enzymes needed to decrease the inflammatory response.; The drug exerts anti-inflammatory and immunosuppressant actions as follows: - 1) Induce lipocortins in macrophages, endothelium, and fibroblasts which inhibits phospholipase A2 and thus decreases the production of Prostaglandins, leukotriens (LT), and platelet activating factor, 2) Causes negative regulation of genes for cytokines in macrophages, endothe",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/tobradex-eye-drops-5-ml-hkew-01667399599.png
Guava Syrup,guava leaves,NORMASS SYRUP 120 ML; GUAVA SYRUP 120 ML,For cough,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1631010575guava-syrup-cough-suppressant-120-mljpg
Hermpro,escitalopram,ESTIKANA 10mg 14 F.C. Tab.; EXCELSA 10MG 7 F.C.TAB.; XYGAROT 5MG/5ML SYRUP 100 ML; ESCITALOBORG 5 MG 10 TABLETS; ESTIKAN 20mg 7f.c.tab.; CITALOMEP 20mg 7 F.C.tab.; EXCELSA 20mg 7 F.C.tab.; ESCITALOBORG 20MG 10 TABLETS; ESCITALOPRAM 20mg f.c. 10tab.; CITAPRONEX 5mg 14 F.C.tab.; CITAPRONEX 10mg 14 F.C.tab.; ESCITAPRAM 20mg f.c. tabs.; CIPRAPRO 10mg 10 F.C. Tab.; CITAPRONEX 20mg 14 F.C. tabs.; VERDAPIOTAL 10mg 30 F.C.tab.; ATMECIPIA 10 mg 20 F.C.tab.; ESCITA 10mg 14 F.C. Tab.; PSYCHOPRAM 20 mg 20 f.c. tabs.; HERMPRO 10mg 20 F.C. Tab.; NODEP 10mg 30 f.c.tab.; CIPRALEX 10mg 28 F.C. Tab.,"About Escitalopram; Selective Serotonin Reuptake Inhibitor (SSRI), Antidepressant.; ; Mechanism of Action of Escitalopram; Escitalopram is the S enantiomer of racemic Citalopram. It is 100 times more potent than R-enantiomer. Escitalopram blocks the re-uptake of neurotransmitter Serotonin from the synapse to the presynaptic nerve terminal in the CNS. This potentiates the action of Serotonin (5HT) and it is useful in the treatment of depression.; ; Indications for Escitalopram; Depression.; ; Typical Dosage for Escitalopram; Adult: Initial dose: 10 mg / day, dose can be increased to 20 mg / day if sufficient response does not occur after a minimum of 1 week.",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/hermpro-10-mg-20-tab-k46z-01693926294.png
Prozac,fluoxetine,FLUOXETINE 20 MG H.G.CAPS.; PHILOZAC 10MG 10 CAPS.; FLOROSIN 20MG 10 CAPS.; PHILOZAC 20MG 10 CAPS.; FLUTIN 20MG 14 CAPS.; DEPEZAC 90 mg delayed release 4tab.; ELEVAMOOD 20mg 14 Caps.; ALZAC 10MG 20 CAPS.; FLUOZAC 10mg 20 Caps.; DEPREBAN 20MG 10 CAPS.; FLUOXETINE 20 MG 10 CAPS.; FLUOZAC 40MG 10 CAPS.; OCTOZAC 20MG 10 CAPS.; DURAZAC WEEKLY 90mg 4 delayed release Caps.; FIESTO 90mg delayed release 4Caps.; PROZAC 20MG 14 CAPS.,"About Fluoxetine; Selective Serotonin Reuptake Inhibitor, Antidepressant.; ; Mechanism of Action of Fluoxetine; Fluoxetine preferentially inhibits the re-uptake of Serotonin (5 HT) in the CNS nerve terminals .This will result in an increased concentration of neurotransmitter Serotonin in the synaptic cleft and produces antidepressant effect. Fluoxetine has only less affinity towards Dopaminergic, Cholinergic and Adrenergic receptors.; ; Interactions for Fluoxetine; MAOIs: Serious life threatening reactions. At least 14 days should elapse after MAOIs withdrawal and initiation of fluoxentine. At least 5 weeks should elapse after fluoxentine withdrawal and initiation of the therapy with MAOIs.; Diazepam: Half-life of diazepam prolonged.; Haloperidol: Chances of severe extrapyramidal reactions.; Lithium: Serum lithium levels increased leading to toxicity.; TCAs: Efiicacy and toxic effects of TCAs enhanced.; Warfarin,",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/prozac-20-mg-14-cap-alxh-01668346924.png
Voltaren,diclofenac diethylamine,VOLTAREN 1% (15g) emulgel; VOLTAREN 1% (25g) emulgel; VOLTAREN 1% (50g) emulgel; VOLTAREN 1% (100g) emulgel,"Description; A non-steroidal anti-inflammatory agent (NSAID) with antipyretic and analgesic actions.; ; Indication; For the acute and chronic treatment of signs and symptoms of osteoarthritis and rheumatoid arthritis.; ; Mechanism of action; The antiinflammatory effects of diclofenac are believed to be due to inhibition of both leukocyte migration and the enzyme cylooxygenase (COX-1 and COX-2), leading to the peripheral inhibition of prostaglandin synthesis. As prostaglandins sensitize pain receptors, inhibition of their synthesis is responsible for the analgesic effects of diclofenac. Antipyretic effects may be due to action on the hypothalamus, resulting in peripheral dilation, increased cutaneous blood flow, and subsequent heat dissipation.",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1623919705voltaren-tabjpg
Catafast,diclofenac potassium,RAPIFLAM 12.5mg 5 SUPP.; RAPIFLAM 25mg 5 SUPP.; DICLOFLAM 50mg 10 sugar coated tab.; UNIRAPECURE 50 MG 10 F.C. TABS.; RAPIFLAM 25mg 10 enteric coated tab.; VASTAFLAM 25mg 20 sugar coated tab.; MIPAFLAM 75mg 5 supp.; VASTAFLAM 50mg 20 sugar coated tab.; ADWIFLAM 25MG 20F.C.TAB; ADWIFLAM 12.5mg INFANTS 5 supp.; ADWIFLAM 25mg children 5 supp.; MIPAFLAM 25 MG 20 E.C. TABS.; RAPIFLAM 50mg 10 enteric coated tab.; FLASH ACT 50mg/2g Sachets; OFLAM 25 MG 10 QUICKTAB.; ACTIFAST 12.5mg 20 tab.; INESTAFENAC 50mg 10 sachet; ACTIFAST 50mg 6 sachets; CATAFLAM 15mg/ml oral drops 15 ML; DOLPHIN K 75mg 5 supp.; ADWIFLAM 75mg 5 supp.; DOLPHIN K 15mg/ml oral drops 15 ML; VOLTINAC-K soln. for inj.; DOLPHIN K 75mg/3ml I.M. 3 amp.; CATAFLAM 75mg 5 supp.; ACTIFAST 50mg 30 f.c.tab.; CATAFLY 2mg/ml 100ml susp.; DICLOTAZEN 50mg 10 sachets; DOLPHIN K 25mg 20 F.C. tab.; DICLASIUM 50 MG 30 F.C. TABS.; POTAFEN 25mg 20 F.C. Tab.; DECLOPHEN FAST 50mg Gr. for Oral susp. 10 SACHETS; DICLOWAD 50mg 12 sachets.; DOLPHIN K 50mg 20 F.C. tab.; CATAFLY 2mg/ml 140ml susp.; POTAFEN 75mg/3ml 3 amp.; RAPIDUS 50mg 20 F.C. TABS.; CATAFLAM 25mg 20 sugar coated tab.; ZITOXANAL 50mg 30 CAPS.; POTAFEN 50mg 20 F.C. Tab.; ANTIFLAM 25mg 20 tab.; ANTIFLAM 50mg 20 tab.; ADWIFLAM 50 MG 10 SACHETS; OFLAM 50 MG 20 QUICKETAB.; DOLPHIN K 75mg S.R. 20 caps.; DICLORAPID 50mg 30 F.C.tab.; DOLPHIN K 75mg/3ml I.M. 6 amp.; ADWIFLAM 50mg E.R. 30 caps.; ADWIFLAM 75mg/3ml 6 AMP.; CATAFLAM 50mg 20 sugar coated tab.; CATAFAST 50mg 9 sachet; FLAMIFAST 50mg 30 ORALLY DISINTEGRATING TABS.; CATAFLAM 75mg/3ml 6 amp.; DICLOTAZEN 50mg 100 sachets,"About Diclofenac Potassium; NSAID, anti-inflammatory ,antipyretic and analgesic.; ; Mechanism of Action of Diclofenac Potassium; Diclofenac possess analgesic, anti-inflammatory and antipyretic action. It inhibits the enzyme cyclo-oxygenase and there by inhibits the synthesis of Prostaglandins (((PGs))). It is more potent against cyclo-oxygenase-2 enzyme as compared to other NSAIDs like Indomethacin, Naproxen etc. It reduces intracellular concentrations of free arachidonic acid in leukocyte by altering its release or uptake.; ; Indications for Diclofenac Potassium; 1.Rheumatoid arthritis; 2.Ankylosing spondylitis; 3.Acute gout; 4.Joint disorders e.g. inflammatory disease in joints, crystal deposition in the joints; 5.Osteoarthritis; 6.For the relief of pain and inflammation in dental minor surgery and orthopedic; 7.Dysmenorrhoea",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/catafast-50-mg-sachets-01675163977.png
Cetrak,cetirizine,ALERID 10mg/ml oral dps.; EPIRIZINE 5MG/ML SYRUP 60 ML; ALERID 5mg/5ml 60ml syrup; ALERID 5mg/5ml 100ml syrup; CETRAK 1mg/ml 120ml syrup; CETIRIZINE 1% oral dps. 15 ML; CETRITIN 5mg/5ml 120ml syrup; CETRITIN 10mg 10 tab.; EPIRIZINE 10mg 10 tab.; LERGFREE 5mg/5ml 120ml syrup; HISTAZINE-1 1gm/100ml oral drops 10 ML; ALERID 10MG chewable 20tab.; HISTAZINE-1 0.1% 100ml syrup; TOMAZINE 1mg/ml 60ml syrup; ALERID 10mg 20 F.C. TABS.; CETRICHEW 5mg 20 chewable F.C. tabs.; CETRICHEW 10mg 20 chewable F.C. tabs.; HISTA CHEW 10 mg 20 chewable tab.; HISTAZINE-1 10mg 10 tab.; CETRAK 10mg 20 tab.; ZYRTEC 10mg/ml oral drops; ZYRTEC 0.1% 100ml syrup; TOMAZINE 10mg 20 F.C. TABS.; ZYRTEC 10 mg 20 tab.,"About Cetirizine; Second Generation H1 Antagonist, Metabolite of hydroxyzine, Antihistamine.; ; Mechanism of Action of Cetirizine; This drug is a selective peripheral H1 receptor antagonist. Thus it inhibits the allergic symptoms produced by histamines like cold, rhinorrhea, sneezing, urticaria etc. The drug has some mast cell stabilizing properties. It also inhibit eotaxin-induced eosinophil TEM through both dermal and lung micro vascular endothelial cells. So inhibit eosinophil chemotaxis and also inflammation caused by it.; ; Indications for Cetirizine; 1. Sneezing; 2. Rhinorrhoea; 3. Postnasal discharge.; 4. Common coughs; 5. Colds.; 6. Chronic urticaria; 7. Dermatitis; 8. Pruritic skin disorders; 9. Hay fever; 10. Angioedema",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1631088458cetrak-for-allergies-10-mg-20-tabsjpg
Lamisil 1%,terbinafine,TERBIFUNGIN 1% 15gram cream; UNITOPFIN 1% cream 15 GM; FUNGISAFE 1% Cream 15 GM; LAMIFEN 1% cream 15 GM; BENAFIN 1gm/100gm cream 15 GM; FUNGIBAN 1% top. Gel 15 GM; TERBIN 1% topical solution 15 ML; TERBIN 1% cream 15 GM; TERBINAJED 1% cream 30 GM; TERBIN 1% topical spray 30 ml; FUNGISTAT 1% gel 30 GM; LAMISIL 1% dermgel 15 GM; LAMISIL 1% topical cream 15 GM; TERBECOMASIL 1% SPRAY 30 ML; UNITOPFIN 250 MG 7 F.C. TABS.; TRERBI 250 MG 10 tab.; MYCOMIC 250 MG 10 tab.; FUNGISAFE 250mg 7tab.; TERBINASIL 250 MG 7 tab.; TERBIFUNGIN 250 MG 14 tab.; FUNGISAFE 250mg 10tab.; LAMIFEN 125mg 14 tab.; LAMISIL 1% spray 30 ML; TERBINAFINE 1% Topical aerosol powder.; LAMISIL 125mg 14tab.; LAMISIL ONCE film forming solution.; LAMIFEN 250mg 14 tab.; TERBIN 250 MG 14 tab.; LAMISIL 250mg 14 tab.,"About Terbinafine; A synthetic allylamine derivative, Antifungal.; Mechanism of Action of Terbinafine; Terbinafine is a fungicidal drug. It interfere the conversion of Squalene to Ergosterol by inhibiting the enzyme Squalene epoxidase.This results in accumulation of Squalene in the fungal cells and leads to membrane distortion and death of the Fungus.; Indications for Terbinafine; 1. Tinea pedis; 2. Tinea corporis; 3. Tinea capitis; 4. Tinea cruris; 5. Onychomycosis; Interactions for Terbinafine; Cimetidine: Terbinafine clearance is decreased 33%.; Rifampicin: Terbinafine clearance is increased 100%.; Terfenadine: Terbinafine clearance is decreased 16%.; Cyclosprorin: Clearance of cyclospronine increased by 15%.",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1628596380lamisil-1-cream-15gm-chefaajpeg
Conventin,gabapentin,GABA 100mg 10 Caps.; PENTALIPSY 100mg 10 Caps.; EZAPENTIN 300mg 10 Caps.; PENTALIPSY 300mg 10 Caps.; LEPTICURE 100 mg 20 Caps.; PENTALIPSY 400mg 10 Caps.; SHALGATEN 100mg 20 Caps.; LEPTICURE 300 MG 10 CAPS.; ADAPTAN 300 MG 10 SOFT GELATIN CAP.; STABLENTIN 6mg/120ml SYRUP; VEGAPANTIN 5gm/100ml syp. 120 ML; EPICOPENTIN 600mg 10 f.c.tab.; CONVENTIN 100MG 30 CAP.; EPICOPENTIN 800mg 10 f.c.tab.; NEUROGLOPENTIN 100MG 30 HARD GELATIN CAPSULE; GABAPENTIN 800mg 10f.c.tab.; VEGAPANTIN 600mg 10 F.C.tab.; ADAPTAN 400 mg 10 soft gelatin Caps.; GABAPENTIN 600mg 10 F.C. TABS.; LEPTICURE 400 MG 10 CAPS.; RAMSOOM 600mg 10 F.C. TAB.; STABLENTIN 600mg 10 F.C. tabs.; GABAPENTIN 300mg 20 F.C. TAB.; SHALGATEN 300mg 20 Caps.; STABLENTIN 800mg 10 F.C. tabs.; ADAPTAN 250mg/5ml oral solution; GABIMASH 300mg 30 tab.; SHALGATEN 400mg 20 Caps.; GAPTIN 100MG 30 CAPS.; GAPTIN 250mg/5ml oral solution; GABALEPSY 300MG 20 CAPS.; NEUROGLOPENTIN 300MG 30 HARD GELATIN CAPSULE; CONVENTIN 300MG 30 CAPS.; OCTOCONVAL 800 MG 20 SCORED F.C. TABS.; GABIMASH 800mg 20 tab.; NEURONTIN 300MG 20 CAPS.; GAPTIN 300MG 30 CAPS.; NEUROGLOPENTIN 400MG 30 CAPS.; CONVENTIN 400MG 30 CAPS.; GAPTIN 400MG 30 CAPS.,"About Gabapentin; A GABA analogue, Anticonvulsant, Mood stabilizer.; ; Mechanism of Action of Gabapentin; Gabapentin is a GABA derivative and it bounds to lipophilic molecule. The mechanism of action of Gabapentin is not exactly known. It crosses blood brain barrier and enhances release of GABA.; ; Indications for Gabapentin; 1.Antiepileptic(Treatment of partial seizure); 2.Treatment of neuropathic pain; ; Typical Dosage for Gabapentin; Adult: Initial dose: 300 mg / day increase the dose by 300 mg/day for next 2 days (up to 900 mg / day in 3 divided doses). Thereafter increase the dose until sufficient therapeutic response is obtained.; Maintenance dose: 900-1800mg /day in 3 divided doses; Maximum dose: 3.6 g /day; Children above 12 years: 10mg / kg / day in 3 divided doses, then gradually increase the dose until sufficient therapeutic response is obtained.",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/conventin-400-mg-30-caps-ggwe-01670789069.png
Prozac,fluoxetine,FLUOXETINE 20 MG H.G.CAPS.; PHILOZAC 10MG 10 CAPS.; FLOROSIN 20MG 10 CAPS.; PHILOZAC 20MG 10 CAPS.; FLUTIN 20MG 14 CAPS.; DEPEZAC 90 mg delayed release 4tab.; ELEVAMOOD 20mg 14 Caps.; ALZAC 10MG 20 CAPS.; FLUOZAC 10mg 20 Caps.; DEPREBAN 20MG 10 CAPS.; FLUOXETINE 20 MG 10 CAPS.; FLUOZAC 40MG 10 CAPS.; OCTOZAC 20MG 10 CAPS.; DURAZAC WEEKLY 90mg 4 delayed release Caps.; FIESTO 90mg delayed release 4Caps.; PROZAC 20MG 14 CAPS.,"About Fluoxetine; Selective Serotonin Reuptake Inhibitor, Antidepressant.; ; Mechanism of Action of Fluoxetine; Fluoxetine preferentially inhibits the re-uptake of Serotonin (5 HT) in the CNS nerve terminals .This will result in an increased concentration of neurotransmitter Serotonin in the synaptic cleft and produces antidepressant effect. Fluoxetine has only less affinity towards Dopaminergic, Cholinergic and Adrenergic receptors.; ; Interactions for Fluoxetine; MAOIs: Serious life threatening reactions. At least 14 days should elapse after MAOIs withdrawal and initiation of fluoxentine. At least 5 weeks should elapse after fluoxentine withdrawal and initiation of the therapy with MAOIs.; Diazepam: Half-life of diazepam prolonged.; Haloperidol: Chances of severe extrapyramidal reactions.; Lithium: Serum lithium levels increased leading to toxicity.; TCAs: Efiicacy and toxic effects of TCAs enhanced.; Warfarin,",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/prozac-20-mg-14-cap-alxh-01668346924.png
